index,academic_year_first_registration,birth_date,nacionality,num_registrations,num_registrations_course_conferent_degree,working_student,age,total_ects,has_scholarship,moved_student,registrations,repetitions,attendance_T,attendance_TP,attendance_PL,TP_time,PL_time,frequency_grade_result,frequency_grade,normal_grade_result,normal_grade,recovery_grade_result,recovery_grade,valid_final_grade,years_since_registration,dropout
833,2012/2013,1994-01-07 06:00:00,PRT,2,7,1,27,84.0,False,True,1,1,0.1111111111111111,0.9090909090909092,0.6666666666666666,15:30:00,23:30:00,AP,10.0,F,0.0,F,0.0,1,3,False
839,2013/2014,1994-03-17 06:00:00,PRT,1,6,0,27,74.0,False,True,1,1,0.5555555555555556,0.6363636363636364,0.5,15:30:00,17:00:00,AP,11.0,F,0.0,F,0.0,1,2,False
841,2013/2014,1995-10-30 06:00:00,PRT,1,6,0,25,58.0,False,True,1,0,0.2222222222222222,0.4545454545454545,0.6666666666666666,15:30:00,15:00:00,AP,10.0,F,0.0,F,0.0,1,2,False
843,2013/2014,1995-06-14 05:00:00,PRT,1,7,0,26,62.0,False,True,1,1,0.5925925925925926,0.7272727272727273,0.5,15:30:00,17:00:00,AP,10.0,F,0.0,R,7.0,1,2,False
847,2013/2014,1995-07-02 05:00:00,PRT,1,5,0,26,84.0,True,False,1,1,0.1111111111111111,1.0,0.6666666666666666,15:00:00,15:00:00,AP,11.0,F,0.0,F,0.0,1,2,False
848,2013/2014,1995-09-25 05:00:00,PRT,3,7,0,25,84.0,False,False,1,1,0.1111111111111111,0.8,0.5,15:00:00,17:00:00,AP,10.0,F,0.0,F,0.0,1,2,False
849,2013/2014,1995-04-25 05:00:00,PRT,2,7,0,26,84.0,True,True,1,1,0.1481481481481481,0.5,0.75,15:00:00,20:00:00,AP,11.0,F,0.0,F,0.0,1,2,False
850,2013/2014,1995-04-06 05:00:00,PRT,12,9,0,26,89.0,False,False,3,0,0.4444444444444444,0.7272727272727273,0.5,15:30:00,22:00:00,AP,17.0,F,0.0,AP,17.0,1,2,False
851,2013/2014,1995-03-26 06:00:00,PRT,1,6,0,26,72.0,False,False,1,1,0.1111111111111111,0.8181818181818182,0.6666666666666666,15:30:00,15:00:00,AP,11.0,F,0.0,F,0.0,1,2,False
854,2013/2014,1995-06-19 05:00:00,PRT,3,8,0,26,59.0,False,False,1,0,0.2592592592592592,1.0,0.6666666666666666,15:00:00,15:00:00,R,8.0,F,0.0,AP,11.0,1,2,False
857,2013/2014,1995-06-26 05:00:00,PRT,5,9,0,26,62.0,False,False,4,0,0.5185185185185185,0.7272727272727273,0.25,15:30:00,22:00:00,AP,11.0,F,0.0,F,0.0,1,2,False
858,2013/2014,1995-12-27 06:00:00,PRT,2,6,0,25,80.0,False,False,1,0,0.1851851851851851,0.8181818181818182,0.6666666666666666,15:30:00,15:00:00,R,8.0,F,0.0,AP,12.0,1,2,False
861,2013/2014,1994-01-03 06:00:00,PRT,2,7,0,27,73.0,False,True,2,0,0.4814814814814814,0.8181818181818182,0.6666666666666666,15:30:00,21:30:00,AP,12.0,F,0.0,F,0.0,1,2,False
866,2013/2014,1995-12-11 06:00:00,PRT,3,5,0,25,66.0,False,True,1,1,0.1111111111111111,0.9,0.6666666666666666,15:00:00,15:00:00,R,6.0,F,0.0,F,0.0,0,2,True
867,2013/2014,1995-03-02 06:00:00,PRT,1,6,0,26,66.0,False,True,1,1,0.2222222222222222,0.0909090909090909,0.6666666666666666,20:00:00,19:30:00,AP,10.0,F,0.0,F,0.0,1,2,False
871,2013/2014,1994-02-28 06:00:00,PRT,1,5,1,27,72.0,False,True,1,1,0.2222222222222222,0.6,0.6666666666666666,15:00:00,15:00:00,AP,13.0,F,0.0,F,0.0,1,2,False
872,2013/2014,1993-10-25 06:00:00,PRT,3,7,0,27,75.0,False,False,1,0,0.7407407407407407,0.6363636363636364,0.6666666666666666,15:30:00,15:00:00,R,8.0,F,0.0,R,8.0,0,2,False
875,2013/2014,1995-08-29 05:00:00,PRT,10,6,0,25,79.0,False,False,5,1,0.2592592592592592,0.7,0.25,15:00:00,20:00:00,AP,10.0,F,0.0,F,0.0,1,2,False
876,2013/2014,1995-01-02 06:00:00,PRT,3,8,0,26,73.0,False,False,1,0,0.5185185185185185,0.7272727272727273,0.25,15:30:00,22:00:00,R,7.0,F,0.0,AP,12.0,1,2,False
881,2013/2014,1995-04-06 05:00:00,PRT,1,7,0,26,73.0,False,True,1,0,0.1111111111111111,0.7,0.6666666666666666,15:00:00,15:00:00,R,7.0,F,0.0,R,7.0,0,2,False
882,2013/2014,1995-05-25 05:00:00,PRT,1,6,0,26,72.0,False,True,1,0,0.2222222222222222,0.8181818181818182,0.6666666666666666,15:30:00,21:30:00,AP,11.0,F,0.0,F,0.0,1,2,False
883,2013/2014,1995-11-10 06:00:00,PRT,1,8,0,25,78.0,False,True,1,1,0.2592592592592592,0.9,0.6666666666666666,15:00:00,15:00:00,AP,12.0,F,0.0,F,0.0,1,2,False
884,2013/2014,1995-12-12 06:00:00,PRT,1,6,0,25,76.0,False,True,1,0,0.4444444444444444,0.7,1.0,15:00:00,19:30:00,AP,11.0,F,0.0,F,0.0,1,2,False
887,2013/2014,1994-03-21 06:00:00,PRT,2,6,0,27,84.0,True,True,1,1,0.1851851851851851,0.9,0.6666666666666666,15:00:00,15:00:00,AP,12.0,F,0.0,F,0.0,1,2,False
889,2014/2015,1996-07-03 05:00:00,PRT,4,5,0,25,72.0,False,True,3,0,0.3333333333333333,0.9,0.3333333333333333,15:00:00,15:00:00,R,5.0,F,0.0,F,0.0,0,1,True
890,2014/2015,1996-12-06 06:00:00,PRT,1,6,0,24,72.0,False,True,1,0,0.3703703703703703,0.7,1.0,15:00:00,21:30:00,R,2.0,F,0.0,F,0.0,0,1,True
893,2014/2015,1996-12-04 06:00:00,PRT,2,6,0,24,66.0,False,False,2,0,0.6296296296296297,1.0,0.75,15:00:00,22:00:00,AP,12.0,F,0.0,F,0.0,1,1,False
894,2014/2015,1996-01-17 06:00:00,PRT,1,7,0,25,73.0,False,False,1,0,0.5185185185185185,1.0,0.75,15:00:00,22:00:00,AP,11.0,F,0.0,F,0.0,1,1,False
895,2014/2015,1996-05-29 05:00:00,PRT,2,6,0,25,59.0,False,False,1,0,0.925925925925926,1.0,0.5,15:00:00,20:00:00,AP,16.0,F,0.0,F,0.0,1,1,False
897,2014/2015,1996-11-17 06:00:00,PRT,1,6,0,24,59.0,False,False,1,0,0.8888888888888888,1.0,0.5,15:00:00,20:00:00,AP,11.0,F,0.0,F,0.0,1,1,False
898,2014/2015,1996-04-14 05:00:00,PRT,1,6,0,25,66.0,False,False,1,0,0.8148148148148148,0.7272727272727273,0.5,15:30:00,20:00:00,AP,11.0,F,0.0,F,0.0,1,1,False
899,2014/2015,1996-05-14 05:00:00,PRT,3,8,0,25,59.0,False,False,1,0,0.925925925925926,0.7272727272727273,0.3333333333333333,15:30:00,15:00:00,AP,17.0,F,0.0,F,0.0,1,1,False
900,2014/2015,1996-10-07 05:00:00,PRT,2,8,0,24,59.0,False,False,1,0,0.3333333333333333,0.7272727272727273,0.6666666666666666,20:00:00,21:30:00,AP,13.0,F,0.0,AP,12.0,1,1,False
901,2014/2015,1996-12-04 06:00:00,PRT,2,5,0,24,59.0,False,False,1,0,0.4074074074074074,0.8181818181818182,0.5,20:00:00,17:00:00,AP,13.0,F,0.0,F,0.0,1,1,False
902,2014/2015,1996-12-14 06:00:00,PRT,1,7,0,24,66.0,False,False,1,0,0.2592592592592592,0.7272727272727273,0.6666666666666666,20:00:00,21:30:00,R,7.0,F,0.0,R,7.0,0,1,False
903,2014/2015,1996-06-12 05:00:00,PRT,1,6,0,25,66.0,False,False,1,0,0.4814814814814814,0.7272727272727273,0.6666666666666666,15:30:00,21:30:00,R,7.0,F,0.0,F,0.0,0,1,True
904,2014/2015,1996-12-03 06:00:00,PRT,2,7,0,24,66.0,False,False,1,0,0.1111111111111111,0.4545454545454545,0.5,15:30:00,20:00:00,AP,12.0,F,0.0,F,0.0,1,1,False
905,2014/2015,1996-03-22 06:00:00,PRT,2,7,0,25,69.0,False,True,2,0,0.1481481481481481,0.5,0.5,15:00:00,17:00:00,AP,13.0,F,0.0,F,0.0,1,1,False
907,2014/2015,1996-09-14 05:00:00,PRT,2,7,0,24,73.0,False,False,1,0,0.4814814814814814,0.8181818181818182,0.6666666666666666,15:30:00,15:00:00,R,8.0,F,0.0,AP,13.0,1,1,False
910,2014/2015,1996-03-03 06:00:00,PRT,1,6,0,25,66.0,True,True,1,0,0.8888888888888888,1.0,0.6666666666666666,15:00:00,23:30:00,AP,13.0,F,0.0,F,0.0,1,1,False
